nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
     19926, 8.125385132E+02, 8.430081177E+02, 3.089479065E+02, 3.892536640E+00
     19927, 1.347535034E+03, 6.970445557E+02, 3.089914246E+02, 3.887319326E+00
     19928, 1.882531494E+03, 5.510809937E+02, 3.090349731E+02, 3.722149372E+00
     19929, 1.462177124E+03, 6.657666016E+02, 3.121788635E+02, 3.857793808E+00
     19930, 9.271806030E+02, 8.117302246E+02, 3.122224731E+02, 3.915521383E+00
     19931, 3.921842041E+02, 9.576937866E+02, 3.122659912E+02, 3.800693512E+00
     19932, 4.686122437E+02, 9.368418579E+02, 3.123941650E+02, 3.808413982E+00
     19933, 1.003608643E+03, 7.908782959E+02, 3.124376831E+02, 3.922959805E+00
     19934, 1.538605103E+03, 6.449146729E+02, 3.124813232E+02, 3.835690498E+00
     19935, 3.392671585E+01, 1.055437500E+03, 3.126601868E+02, 3.649170876E+00
     19936, 1.634586060E+03, 6.187281494E+02, 3.137803955E+02, 3.806925535E+00
     19937, 1.099469727E+03, 7.647243652E+02, 3.138566589E+02, 3.924267769E+00
     19938, 5.643535767E+02, 9.107206421E+02, 3.139328613E+02, 3.824461460E+00
     19939, 2.967954407E+02, 9.837187500E+02, 3.141572571E+02, 3.789322615E+00
     19940, 8.319116821E+02, 8.377225342E+02, 3.142334900E+02, 3.900793791E+00
     19941, 1.367027954E+03, 6.917262573E+02, 3.143097229E+02, 3.887873173E+00
     19942, 1.902144287E+03, 5.457300415E+02, 3.143859558E+02, 3.723357677E+00
     19943, 1.806103516E+03, 5.719329224E+02, 3.156251526E+02, 3.753455162E+00
     19944, 1.271106934E+03, 7.178964844E+02, 3.156687622E+02, 3.909867287E+00
     19945, 7.361104736E+02, 8.638600464E+02, 3.157123108E+02, 3.874407291E+00
     19946, 2.011140594E+02, 1.009823669E+03, 3.157558594E+02, 3.762527943E+00
     19947, 1.246859665E+02, 1.030675659E+03, 3.158404846E+02, 3.721164703E+00
     19948, 6.596823730E+02, 8.847120361E+02, 3.158839722E+02, 3.852632761E+00
     19949, 1.194678833E+03, 7.387484741E+02, 3.159275513E+02, 3.922472954E+00
     19950, 1.729675415E+03, 5.927848511E+02, 3.159711304E+02, 3.778395653E+00
     19951, 2.000000000E+03, 5.190318604E+02, 3.163806458E+02, 3.704249620E+00
     19952, 1.615033203E+03, 6.240627441E+02, 3.191150208E+02, 3.819043159E+00
     19953, 1.080036743E+03, 7.700263062E+02, 3.191585999E+02, 3.927197933E+00
     19954, 5.450402832E+02, 9.159899292E+02, 3.192021179E+02, 3.827902079E+00
     19955, 3.157561340E+02, 9.785457153E+02, 3.193302917E+02, 3.799964428E+00
     19956, 8.507525635E+02, 8.325821533E+02, 3.193738403E+02, 3.909601688E+00
     19957, 1.385749023E+03, 6.866185913E+02, 3.194174194E+02, 3.887097597E+00
     19958, 1.920745605E+03, 5.406550293E+02, 3.194609985E+02, 3.724188805E+00
     19959, 1.433917358E+03, 6.734768677E+02, 3.198890686E+02, 3.874241829E+00
     19960, 8.988011475E+02, 8.194730225E+02, 3.199652710E+02, 3.917356253E+00
     19961, 3.636849365E+02, 9.654692993E+02, 3.200415039E+02, 3.807185173E+00
     19962, 4.974639893E+02, 9.289702148E+02, 3.202658081E+02, 3.821894169E+00
     19963, 1.032579956E+03, 7.829739990E+02, 3.203419495E+02, 3.928573847E+00
     19964, 1.567696655E+03, 6.369776611E+02, 3.204183350E+02, 3.835660934E+00
     19965, 1.958959595E+03, 5.302290649E+02, 3.225613403E+02, 3.717703104E+00
     19966, 1.965154663E+03, 5.285388794E+02, 3.225927734E+02, 3.716179848E+00
     19967, 1.423963135E+03, 6.761926880E+02, 3.226049194E+02, 3.879720926E+00
     19968, 8.889666138E+02, 8.221561890E+02, 3.226484375E+02, 3.917313814E+00
     19969, 3.539701843E+02, 9.681197510E+02, 3.226919861E+02, 3.809671879E+00
     19970, 5.068262939E+02, 9.264158936E+02, 3.228201294E+02, 3.826796532E+00
     19971, 1.041822754E+03, 7.804523926E+02, 3.228636169E+02, 3.930280924E+00
     19972, 1.576819336E+03, 6.344887085E+02, 3.229072571E+02, 3.835341454E+00
     19973, 1.768365356E+03, 5.822290649E+02, 3.259213562E+02, 3.777646542E+00
     19974, 1.233248657E+03, 7.282254639E+02, 3.259977417E+02, 3.924711466E+00
     19975, 1.997364258E+03, 5.197510376E+02, 3.260330811E+02, 3.715282440E+00
     19976, 1.767889526E+03, 5.823588867E+02, 3.260511475E+02, 3.777943850E+00
     19977, 6.981323853E+02, 8.742216797E+02, 3.260739441E+02, 3.874583483E+00
     19978, 1.232892822E+03, 7.283225098E+02, 3.260947876E+02, 3.924829006E+00
     19979, 6.978964233E+02, 8.742861328E+02, 3.261383362E+02, 3.874577284E+00
     19980, 1.630164490E+02, 1.020217834E+03, 3.261499939E+02, 3.757370472E+00
     19981, 1.628999786E+02, 1.020249573E+03, 3.261817627E+02, 3.757353067E+00
     19982, 1.945534424E+03, 5.338918457E+02, 3.262241211E+02, 3.725717068E+00
     19983, 1.913982422E+03, 5.425001831E+02, 3.262241211E+02, 3.734251261E+00
     19984, 1.865342407E+03, 5.557706909E+02, 3.262241211E+02, 3.747803211E+00
     19985, 1.816702393E+03, 5.690411377E+02, 3.262241211E+02, 3.762639999E+00
     19986, 1.768062500E+03, 5.823117065E+02, 3.262241211E+02, 3.778094292E+00
     19987, 1.767255493E+03, 5.825318604E+02, 3.262241211E+02, 3.778341532E+00
     19988, 1.719422363E+03, 5.955822144E+02, 3.262241211E+02, 3.793617964E+00
     19989, 1.670782471E+03, 6.088526611E+02, 3.262241211E+02, 3.809172869E+00
     19990, 1.622142456E+03, 6.221232300E+02, 3.262241211E+02, 3.824913979E+00
     19991, 1.588976440E+03, 6.311718750E+02, 3.262241211E+02, 3.835067749E+00
     19992, 1.573502441E+03, 6.353936768E+02, 3.262241211E+02, 3.840049505E+00
     19993, 1.524862305E+03, 6.486641846E+02, 3.262241211E+02, 3.854785681E+00
     19994, 1.476222412E+03, 6.619346924E+02, 3.262241211E+02, 3.869029522E+00
     19995, 1.427582275E+03, 6.752052002E+02, 3.262241211E+02, 3.882668018E+00
     19996, 1.410697632E+03, 6.798118896E+02, 3.262241211E+02, 3.886980057E+00
     19997, 1.378942383E+03, 6.884756470E+02, 3.262241211E+02, 3.895597696E+00
     19998, 1.330302246E+03, 7.017462158E+02, 3.262241211E+02, 3.906995535E+00
     19999, 1.281662354E+03, 7.150166626E+02, 3.262241211E+02, 3.916793585E+00
     20000, 1.233022217E+03, 7.282872314E+02, 3.262241211E+02, 3.924922466E+00
     20001, 1.232418823E+03, 7.284518433E+02, 3.262241211E+02, 3.924979925E+00
     20002, 1.184382324E+03, 7.415576172E+02, 3.262241211E+02, 3.929281712E+00
     20003, 1.087102295E+03, 7.680986328E+02, 3.262241211E+02, 3.932004213E+00
     20004, 1.054139771E+03, 7.770918579E+02, 3.262241211E+02, 3.932144165E+00
     20005, 1.038462158E+03, 7.813692017E+02, 3.262241211E+02, 3.931736469E+00
     20006, 9.898222656E+02, 7.946396484E+02, 3.262241211E+02, 3.929158211E+00
     20007, 9.411822510E+02, 8.079101563E+02, 3.262241211E+02, 3.925776005E+00
     20008, 8.925422974E+02, 8.211806030E+02, 3.262241211E+02, 3.920554161E+00
     20009, 8.758607788E+02, 8.257318726E+02, 3.262241211E+02, 3.918059826E+00
     20010, 8.439022827E+02, 8.344511719E+02, 3.262241211E+02, 3.912306309E+00
     20011, 7.952622681E+02, 8.477216187E+02, 3.262241211E+02, 3.901604414E+00
     20012, 7.466222534E+02, 8.609921265E+02, 3.262241211E+02, 3.888736725E+00
     20013, 6.979822388E+02, 8.742626953E+02, 3.262241211E+02, 3.874706745E+00
     20014, 6.975820313E+02, 8.743718872E+02, 3.262241211E+02, 3.874598742E+00
     20015, 6.493422241E+02, 8.875330811E+02, 3.262241211E+02, 3.860976696E+00
     20016, 6.007022705E+02, 9.008036499E+02, 3.262241211E+02, 3.848943233E+00
